Potential,GSAslope,SS,FirstNorm,LastNorm,OrthogonalityDefect,Frobenius,TraceNorm,$L_{\infty}$-norm,DetOfLog,GSO_Linfty
76125.860730,0.073927,537520198.427850,5579.019986,8814.820815,188.478847,67964.641072,438500.342360,70573.000000,-189.869873,48728.319913
76117.426644,0.073825,537280996.469780,5579.019986,8814.820815,188.416725,67913.508053,437403.304832,70573.000000,-186.908316,48728.319913
76114.674593,0.073792,537237465.864654,5579.019986,8814.820815,188.401527,67825.186612,434593.768391,69822.000000,-191.994678,48728.319913
76111.587282,0.073755,537211756.235847,5579.019986,8814.820815,188.083151,67597.718201,431857.036598,69822.000000,-192.084545,48728.319913
76083.475318,0.073418,536496995.517161,5579.019986,8814.820815,187.236279,66966.345480,427276.157719,69822.000000,-192.090208,48728.319913
76046.916992,0.072979,534747083.332186,5579.019986,8814.820815,187.046909,66825.965754,425128.692837,69822.000000,-192.308351,48728.319913
76045.997095,0.072968,534742812.519230,5579.019986,8814.820815,186.806215,66635.784786,422526.112363,69822.000000,-191.872390,48728.319913
76007.053401,0.072501,534170460.218153,5579.019986,8814.820815,186.321701,66333.322561,418725.355191,69822.000000,-192.300705,48728.319913
75970.921029,0.072067,533544955.430817,5579.019986,8814.820815,187.021255,66722.757542,419400.807491,69822.000000,-186.458545,48728.319913
75970.894898,0.072067,533272960.784071,5579.019986,8814.820815,186.000427,66134.121065,412629.569956,69822.000000,-193.006973,48728.319913
75972.335253,0.072084,533130262.624269,5579.019986,8814.820815,185.950876,66118.304810,410525.312569,69822.000000,-193.967476,48728.319913
75972.156795,0.072082,533128923.940188,5579.019986,8814.820815,185.798855,66004.405891,407522.719103,69822.000000,-192.561356,48728.319913
75971.127960,0.072070,533126826.605706,5579.019986,6117.813989,185.628831,65834.513874,404340.916893,62983.000000,-193.526673,48728.319913
75962.765732,0.071969,532762416.259921,5579.019986,6581.930188,185.708120,65887.782593,403928.185827,62563.000000,-194.093697,48728.319913
75962.765732,0.071969,532762416.259921,5579.019986,6581.930188,185.708120,65887.782593,403928.185827,62563.000000,-194.093697,48728.319913
75960.522066,0.071942,532522300.450084,5579.019986,6947.211743,185.762864,65963.588714,403740.018361,62672.000000,-193.633498,48728.319913
75960.522066,0.071942,532522300.450084,5579.019986,6947.211743,185.762864,65963.588714,403740.018361,62672.000000,-193.633498,48728.319913
75960.522066,0.071942,532522300.450084,5579.019986,6947.211743,185.762864,65963.588714,403740.018361,62672.000000,-193.633498,48728.319913
75960.522066,0.071942,532522300.450084,5579.019986,6947.211743,185.762864,65963.588714,403740.018361,62672.000000,-193.633498,48728.319913
75960.522066,0.071942,532522300.450084,5579.019986,6947.211743,185.762864,65963.588714,403740.018361,62672.000000,-193.633498,48728.319913
75960.522066,0.071942,532522300.450084,5579.019986,6947.211743,185.762864,65963.588714,403740.018361,62672.000000,-193.633498,48728.319913
75880.053236,0.070977,531753364.779471,5579.019986,7403.363357,185.685803,65901.205960,402112.021111,66249.000000,-193.224873,48728.319913
75878.392079,0.070957,531733365.125015,5579.019986,6866.007428,185.457421,65782.520186,402284.927658,66249.000000,-193.841644,48728.319913
75878.392079,0.070957,531733365.125015,5579.019986,6866.007428,185.457421,65782.520186,402284.927658,66249.000000,-193.841644,48728.319913
75878.392079,0.070957,531733365.125015,5579.019986,6866.007428,185.457421,65782.520186,402284.927658,66249.000000,-193.841644,48728.319913
75878.392079,0.070957,531733365.125015,5579.019986,6866.007428,185.457421,65782.520186,402284.927658,66249.000000,-193.841644,48728.319913
75871.080559,0.070869,531669858.113798,5579.019986,7299.316817,186.108764,66165.246180,405913.919597,61750.000000,-193.289986,48728.319913
75871.080559,0.070869,531669858.113798,5579.019986,7299.316817,186.108764,66165.246180,405913.919597,61750.000000,-193.289986,48728.319913
75871.080559,0.070869,531669858.113798,5579.019986,7299.316817,186.108764,66165.246180,405913.919597,61750.000000,-193.289986,48728.319913
75871.080559,0.070869,531669858.113798,5579.019986,7299.316817,186.108764,66165.246180,405913.919597,61750.000000,-193.289986,48728.319913
75868.039926,0.070832,531645516.630900,5579.019986,8149.839201,186.767957,66640.138790,407121.798601,62769.000000,-193.713846,48728.319913
75868.039926,0.070832,531645516.630900,5579.019986,8149.839201,186.767957,66640.138790,407121.798601,62769.000000,-193.713846,48728.319913
75864.243288,0.070787,531609674.252766,5579.019986,5170.536239,185.526392,65830.649693,402647.176628,62769.000000,-193.726474,48728.319913
75864.243288,0.070787,531609674.252766,5579.019986,5170.536239,185.526392,65830.649693,402647.176628,62769.000000,-193.726474,48728.319913
75864.243288,0.070787,531609674.252766,5579.019986,5170.536239,185.526392,65830.649693,402647.176628,62769.000000,-193.726474,48728.319913
75864.243288,0.070787,531609674.252766,5579.019986,5170.536239,185.526392,65830.649693,402647.176628,62769.000000,-193.726474,48728.319913
75864.243288,0.070787,531609674.252766,5579.019986,5170.536239,185.526392,65830.649693,402647.176628,62769.000000,-193.726474,48728.319913
75864.243288,0.070787,531609674.252766,5579.019986,5170.536239,185.526392,65830.649693,402647.176628,62769.000000,-193.726474,48728.319913
75864.243288,0.070787,531609674.252766,5579.019986,5170.536239,185.526392,65830.649693,402647.176628,62769.000000,-193.726474,48728.319913
75864.243288,0.070787,531609674.252766,5579.019986,5170.536239,185.526392,65830.649693,402647.176628,62769.000000,-193.726474,48728.319913
75861.448576,0.070753,531599033.191151,5579.019986,6884.482116,185.893693,66051.121217,403884.701713,62769.000000,-193.413928,48728.319913
75861.448576,0.070753,531599033.191151,5579.019986,6884.482116,185.893693,66051.121217,403884.701713,62769.000000,-193.413928,48728.319913
75861.448576,0.070753,531599033.191151,5579.019986,6884.482116,185.893693,66051.121217,403884.701713,62769.000000,-193.413928,48728.319913
75861.448576,0.070753,531599033.191151,5579.019986,6884.482116,185.893693,66051.121217,403884.701713,62769.000000,-193.413928,48728.319913
75861.448576,0.070753,531599033.191151,5579.019986,6884.482116,185.893693,66051.121217,403884.701713,62769.000000,-193.413928,48728.319913
75861.448576,0.070753,531599033.191151,5579.019986,6884.482116,185.893693,66051.121217,403884.701713,62769.000000,-193.413928,48728.319913
75861.448576,0.070753,531599033.191151,5579.019986,6884.482116,185.893693,66051.121217,403884.701713,62769.000000,-193.413928,48728.319913
75861.448576,0.070753,531599033.191151,5579.019986,6884.482116,185.893693,66051.121217,403884.701713,62769.000000,-193.413928,48728.319913
75861.448576,0.070753,531599033.191151,5579.019986,6884.482116,185.893693,66051.121217,403884.701713,62769.000000,-193.413928,48728.319913
75861.448576,0.070753,531599033.191151,5579.019986,6884.482116,185.893693,66051.121217,403884.701713,62769.000000,-193.413928,48728.319913
75861.448576,0.070753,531599033.191151,5579.019986,6884.482116,185.893693,66051.121217,403884.701713,62769.000000,-193.413928,48728.319913
75861.448576,0.070753,531599033.191151,5579.019986,6884.482116,185.893693,66051.121217,403884.701713,62769.000000,-193.413928,48728.319913
75851.709874,0.070636,519217291.698752,4736.610180,6884.482116,185.179157,65603.803685,403481.603238,62769.000000,-192.667156,42733.594780
75834.814327,0.070434,512566757.180209,4736.610180,6884.482116,185.154419,65574.744613,406095.350415,62769.000000,-192.857197,42254.639585
75788.435454,0.069877,484622000.932673,4736.610180,6884.482116,184.055301,64916.804589,409294.913381,62769.000000,-193.788707,42653.436231
75778.580475,0.069759,475516687.755905,4736.610180,6884.482116,182.282874,63926.764379,408340.027395,62769.000000,-192.521471,41143.411157
75778.316739,0.069756,473275046.896571,4736.610180,6884.482116,182.328364,63922.499591,408246.192660,62769.000000,-193.365072,39573.843358
75778.928088,0.069763,474254203.869540,4736.610180,6884.482116,182.636758,64114.696552,408252.616751,62769.000000,-192.551601,37319.084670
75776.515667,0.069734,472411792.092216,4736.610180,6884.482116,182.789657,64176.157995,409292.371858,62769.000000,-192.985800,37466.139939
75769.225327,0.069646,471255944.838623,4736.610180,6884.482116,181.971107,63648.630889,409637.677680,62769.000000,-192.405636,37319.084670
75760.215980,0.069538,463711057.877980,4736.610180,6884.482116,181.471745,63367.659417,410717.848906,62769.000000,-192.055954,37319.084670
75753.130247,0.069453,462750752.169099,4736.610180,6884.482116,181.272628,63233.313151,410854.526080,62769.000000,-192.301249,37319.084670
75714.975330,0.068995,444313316.509632,4736.610180,6884.482116,180.943199,63046.721763,412501.458219,62769.000000,-193.189078,37319.084670
75704.915322,0.068875,441604265.558281,4736.610180,6884.482116,179.370497,62158.588811,408829.535169,62769.000000,-192.686974,37319.084670
75698.298919,0.068795,438011390.168379,4736.610180,6884.482116,179.758556,62327.557533,410369.785796,62769.000000,-192.651735,37319.084670
75677.498022,0.068546,432717139.448910,4736.610180,6884.482116,180.349526,62717.376906,413540.371662,62769.000000,-191.528034,37319.084670
75682.940825,0.068611,434509641.638433,4736.610180,6884.482116,179.535746,62304.621715,411920.325096,62769.000000,-191.799376,37319.084670
75668.305077,0.068435,429109663.280406,4736.610180,6884.482116,179.441932,62221.050626,413301.294872,62769.000000,-192.272129,37319.084670
75618.852194,0.067842,413988926.617876,4736.610180,6884.482116,178.653547,61751.636918,409495.878744,62769.000000,-193.226334,37319.084670
75615.857920,0.067806,412547259.172379,4736.610180,6884.482116,177.397995,61041.656604,406662.004759,62769.000000,-192.039773,37319.084670
75626.027564,0.067928,414420069.766590,4736.610180,6884.482116,177.113996,60941.325437,404242.958979,62769.000000,-192.678416,37319.084670
75590.068809,0.067496,409775748.232184,4736.610180,6884.482116,177.181824,60866.909393,406509.995682,62769.000000,-191.627639,37319.084670
75589.752634,0.067493,409565783.964841,4736.610180,6884.482116,176.983197,60823.445241,406062.481649,62769.000000,-193.499584,37319.084670
75575.516215,0.067322,405785468.863339,4736.610180,6884.482116,176.443333,60469.108518,405025.990060,62769.000000,-192.732720,37319.084670
75576.213117,0.067330,406119035.389118,4736.610180,6884.482116,176.129657,60313.790960,402149.048290,62769.000000,-192.186302,37319.084670
75577.061025,0.067340,405831237.853905,4736.610180,6884.482116,176.707328,60541.728799,404612.199871,62769.000000,-193.526792,37319.084670
75564.166469,0.067186,402931448.745403,4736.610180,6884.482116,176.774035,60593.483874,405953.372517,62769.000000,-191.754889,37319.084670
75571.384422,0.067272,403266319.433094,4736.610180,6884.482116,175.669666,59936.102434,402690.227326,62769.000000,-191.536665,37319.084670
75565.356096,0.067200,401876439.236229,4736.610180,6884.482116,176.900017,60615.212414,406753.064794,62769.000000,-193.469100,37319.084670
75560.393302,0.067140,401459299.885367,4736.610180,6884.482116,176.056442,60120.383690,404763.862181,62769.000000,-191.354484,37319.084670
75548.386942,0.066996,400207239.170374,4736.610180,6884.482116,175.492324,59786.992515,402615.553017,62769.000000,-192.127927,37319.084670
75540.127724,0.066897,399195358.202292,4736.610180,6884.482116,175.034210,59543.032153,399744.844913,62769.000000,-193.120197,37319.084670
75525.598664,0.066723,397028974.141349,4736.610180,6884.482116,174.888628,59364.141550,400973.326621,62769.000000,-191.908377,37319.084670
75528.316084,0.066755,397353153.148167,4736.610180,6884.482116,174.254911,59037.545240,399945.677518,62769.000000,-192.615183,37319.084670
75525.675782,0.066724,397577574.701207,4736.610180,6884.482116,174.471805,59120.766749,400319.768787,62769.000000,-191.092844,37319.084670
75502.948630,0.066451,394801316.456534,4736.610180,6884.482116,174.606966,59219.567028,401393.965389,62769.000000,-189.919072,37319.084670
75487.332297,0.066263,393057828.279036,4736.610180,6884.482116,173.369847,58555.146093,395083.372936,62769.000000,-192.047656,37319.084670
75468.274756,0.066035,391342313.777863,4736.610180,6884.482116,173.900599,58795.871165,396358.279101,62769.000000,-192.002482,37319.084670
75467.554339,0.066026,391495137.816638,4736.610180,6884.482116,173.957355,58815.551591,395702.812335,62769.000000,-191.126452,37319.084670
75438.705907,0.065680,389155596.069875,4736.610180,6884.482116,173.104482,58320.361607,393098.371356,62769.000000,-191.143566,37319.084670
75433.933509,0.065623,388791692.410725,4736.610180,6884.482116,173.043376,58238.712512,392185.277116,62769.000000,-191.047459,37319.084670
75402.421197,0.065244,387164484.408053,4736.610180,6884.482116,171.263080,57246.799448,386044.257851,62769.000000,-192.379562,37319.084670
75389.560358,0.065090,385756185.404721,4736.610180,6884.482116,170.920710,57066.013651,383305.182756,62769.000000,-191.549700,37319.084670
75388.853517,0.065082,385743604.059012,4736.610180,6884.482116,170.666679,56907.258105,382471.532403,62769.000000,-191.925785,37319.084670
75388.661219,0.065079,385739697.779778,4736.610180,6884.482116,170.579619,56846.963358,381682.065283,62769.000000,-191.727152,37319.084670
75387.648942,0.065067,385728681.499339,4736.610180,6884.482116,170.738277,56945.261585,381131.915613,62769.000000,-187.567554,37319.084670
75350.283766,0.064619,383939806.162580,4736.610180,6884.482116,171.987773,57615.316583,384553.041843,62769.000000,-191.072038,37319.084670
75350.239373,0.064618,383939011.433602,4736.610180,6884.482116,171.745516,57465.199921,382663.588341,62769.000000,-191.679767,37319.084670
75349.698398,0.064612,383892096.707054,4736.610180,6884.482116,171.173100,57121.226825,379412.857355,62769.000000,-191.683915,37319.084670
75347.874082,0.064590,383875181.877839,4736.610180,6884.482116,171.017997,57004.189907,378124.015950,58784.000000,-192.249173,37319.084670
75311.583220,0.064154,382251156.205578,4736.610180,6884.482116,170.654816,56770.855102,376262.763713,58784.000000,-188.874557,37319.084670
75310.491196,0.064141,382238491.023080,4736.610180,6884.482116,170.525589,56692.062954,374645.626572,58784.000000,-191.910286,37319.084670
75275.084679,0.063716,381234219.009970,4736.610180,6884.482116,169.529599,56153.251927,372021.534548,58784.000000,-191.754514,37319.084670
75274.973790,0.063715,381232822.024969,4736.610180,6884.482116,169.335165,55998.655734,370379.515712,58484.000000,-192.252773,37319.084670
75274.910069,0.063714,381235773.599600,4736.610180,6884.482116,170.027953,56441.563524,369652.557080,58484.000000,-193.546845,37319.084670
75274.910069,0.063714,381235773.599600,4736.610180,6884.482116,169.588693,56144.167293,366104.195403,58484.000000,-192.234039,37319.084670
75277.835926,0.063749,381012045.038681,4736.610180,6884.482116,169.498144,55960.887797,365466.778447,58484.000000,-192.517258,37319.084670
75277.835926,0.063749,381012045.038681,4736.610180,6884.482116,169.298268,55841.245240,363341.598180,58484.000000,-192.868270,37319.084670
75268.727207,0.063640,380573975.754140,4736.610180,6884.482116,169.550897,55980.084977,361902.760059,58484.000000,-193.780985,37319.084670
75231.923948,0.063198,380093915.463480,4736.610180,6884.482116,169.714040,56071.632605,359580.045407,58484.000000,-192.783407,37319.084670
75230.292918,0.063179,380088560.605388,4736.610180,6884.482116,169.279711,55813.280006,356630.152738,55850.000000,-192.871086,37319.084670
75230.041542,0.063176,380088136.606962,4736.610180,6000.901432,169.218310,55753.553770,354523.607503,53929.000000,-193.785228,37319.084670
75232.876384,0.063210,380021862.762514,4736.610180,5877.655145,168.646467,55363.118807,354350.262047,53929.000000,-194.163029,37319.084670
75232.876384,0.063210,380021862.762514,4736.610180,5877.655145,168.646467,55363.118807,354350.262047,53929.000000,-194.163029,37319.084670
75232.876384,0.063210,380021862.762514,4736.610180,5877.655145,168.646467,55363.118807,354350.262047,53929.000000,-194.163029,37319.084670
75220.692122,0.063063,379730364.588252,4736.610180,5719.034184,169.615022,55998.177399,357541.527198,53963.000000,-193.130613,37319.084670
75220.692122,0.063063,379730364.588252,4736.610180,5719.034184,169.615022,55998.177399,357541.527198,53963.000000,-193.130613,37319.084670
75193.923454,0.062742,379205633.701926,4736.610180,5072.430384,169.820200,56107.963668,357243.453827,54019.000000,-193.766237,37319.084670
75179.742581,0.062572,378980851.041640,4736.610180,4904.776040,170.108188,56318.192345,359063.288345,55130.000000,-193.957693,37319.084670
75168.239380,0.062434,378723809.285449,4736.610180,4869.078660,168.699773,55499.080848,354230.660648,53929.000000,-193.694958,37319.084670
75168.239380,0.062434,378723809.285449,4736.610180,4869.078660,168.699773,55499.080848,354230.660648,53929.000000,-193.694958,37319.084670
75172.190829,0.062481,378750143.501720,4736.610180,5738.463645,169.253211,55793.182532,356196.247739,53929.000000,-194.296033,37319.084670
75170.895117,0.062466,378737884.052306,4736.610180,4869.078660,169.118833,55748.680756,354916.700106,53929.000000,-193.930001,37319.084670
75170.895117,0.062466,378737884.052306,4736.610180,4869.078660,169.118833,55748.680756,354916.700106,53929.000000,-193.930001,37319.084670
75170.895117,0.062466,378737884.052306,4736.610180,4869.078660,169.118833,55748.680756,354916.700106,53929.000000,-193.930001,37319.084670
75170.895117,0.062466,378737884.052306,4736.610180,4869.078660,169.118833,55748.680756,354916.700106,53929.000000,-193.930001,37319.084670
75170.895117,0.062466,378737884.052306,4736.610180,4869.078660,169.118833,55748.680756,354916.700106,53929.000000,-193.930001,37319.084670
75170.895117,0.062466,378737884.052306,4736.610180,4869.078660,169.118833,55748.680756,354916.700106,53929.000000,-193.930001,37319.084670
75170.895117,0.062466,378737884.052306,4736.610180,4869.078660,169.118833,55748.680756,354916.700106,53929.000000,-193.930001,37319.084670
75170.895117,0.062466,378737884.052306,4736.610180,4869.078660,169.118833,55748.680756,354916.700106,53929.000000,-193.930001,37319.084670
75170.895117,0.062466,378737884.052306,4736.610180,4869.078660,169.118833,55748.680756,354916.700106,53929.000000,-193.930001,37319.084670
75170.895117,0.062466,378737884.052306,4736.610180,4869.078660,169.118833,55748.680756,354916.700106,53929.000000,-193.930001,37319.084670
75170.895117,0.062466,378737884.052306,4736.610180,4869.078660,169.118833,55748.680756,354916.700106,53929.000000,-193.930001,37319.084670
75170.895117,0.062466,378737884.052306,4736.610180,4869.078660,169.118833,55748.680756,354916.700106,53929.000000,-193.930001,37319.084670
75170.895117,0.062466,378737884.052306,4736.610180,4869.078660,169.118833,55748.680756,354916.700106,53929.000000,-193.930001,37319.084670
75170.895117,0.062466,378737884.052306,4736.610180,4869.078660,169.118833,55748.680756,354916.700106,53929.000000,-193.930001,37319.084670
75170.895117,0.062466,378737884.052306,4736.610180,4869.078660,169.118833,55748.680756,354916.700106,53929.000000,-193.930001,37319.084670
75170.895117,0.062466,378737884.052306,4736.610180,4869.078660,169.118833,55748.680756,354916.700106,53929.000000,-193.930001,37319.084670
75170.895117,0.062466,378737884.052306,4736.610180,4869.078660,169.118833,55748.680756,354916.700106,53929.000000,-193.930001,37319.084670
75170.895117,0.062466,378737884.052306,4736.610180,4869.078660,169.118833,55748.680756,354916.700106,53929.000000,-193.930001,37319.084670
75170.895117,0.062466,378737884.052306,4736.610180,4869.078660,169.118833,55748.680756,354916.700106,53929.000000,-193.930001,37319.084670
75170.895117,0.062466,378737884.052306,4736.610180,4869.078660,169.118833,55748.680756,354916.700106,53929.000000,-193.930001,37319.084670
75170.895117,0.062466,378737884.052306,4736.610180,4869.078660,169.118833,55748.680756,354916.700106,53929.000000,-193.930001,37319.084670
75170.895117,0.062466,378737884.052306,4736.610180,4869.078660,169.118833,55748.680756,354916.700106,53929.000000,-193.930001,37319.084670
75170.895117,0.062466,378737884.052306,4736.610180,4869.078660,169.118833,55748.680756,354916.700106,53929.000000,-193.930001,37319.084670
75170.895117,0.062466,378737884.052306,4736.610180,4869.078660,169.118833,55748.680756,354916.700106,53929.000000,-193.930001,37319.084670
75170.895117,0.062466,378737884.052306,4736.610180,4869.078660,169.118833,55748.680756,354916.700106,53929.000000,-193.930001,37319.084670
75170.895117,0.062466,378737884.052306,4736.610180,4869.078660,169.118833,55748.680756,354916.700106,53929.000000,-193.930001,37319.084670
75170.895117,0.062466,378737884.052306,4736.610180,4869.078660,169.118833,55748.680756,354916.700106,53929.000000,-193.930001,37319.084670
75170.895117,0.062466,378737884.052306,4736.610180,4869.078660,169.118833,55748.680756,354916.700106,53929.000000,-193.930001,37319.084670
75170.895117,0.062466,378737884.052306,4736.610180,4869.078660,169.118833,55748.680756,354916.700106,53929.000000,-193.930001,37319.084670
75170.294189,0.062459,377955621.404772,4221.618647,4869.078660,168.377561,55350.917635,354456.894204,53698.000000,-193.477669,37346.440909
75165.628155,0.062403,376577803.602314,4221.618647,4869.078660,167.757330,55130.165509,354435.192562,53698.000000,-193.970105,37468.096450
75160.227641,0.062338,373491999.469447,4221.618647,4869.078660,168.131451,55237.801531,356235.730474,53698.000000,-193.187623,36787.455781
75172.263346,0.062482,377699345.872698,4221.618647,4869.078660,167.519836,54947.053451,354505.973937,53698.000000,-194.253726,36854.589252
75169.149112,0.062445,375913803.713413,4221.618647,4869.078660,167.626358,54998.575163,356372.427694,53698.000000,-194.153664,35172.000000
75163.201980,0.062373,373239959.426093,4221.618647,4869.078660,167.612267,55065.761676,357516.186904,53698.000000,-193.474382,35172.000000
75151.064727,0.062228,366652794.853232,4221.618647,4869.078660,166.996541,54702.822496,359314.666384,53698.000000,-193.366321,35172.000000
75164.612221,0.062390,369995330.931111,4221.618647,4869.078660,166.623803,54560.472295,358858.900984,53698.000000,-193.712197,35172.000000
75147.436045,0.062184,362744644.210434,4221.618647,4869.078660,166.187929,54340.104656,360415.356198,53698.000000,-193.601425,35172.000000
75151.388762,0.062232,364893481.006049,4221.618647,4869.078660,166.260012,54373.194701,362544.942323,53698.000000,-194.236425,35172.000000
75152.762171,0.062248,363675686.689574,4221.618647,4869.078660,166.012209,54232.314057,361872.786971,53949.000000,-191.575700,35172.000000
75160.729642,0.062344,364803581.944285,4221.618647,4869.078660,166.287062,54401.076405,361531.473797,53698.000000,-192.987550,35172.000000
